# Time (s),Longitudinal moment of inertia (kg·m²),,,,Corrective Moment Coefficient (),C2r,C2r (Aerodynamic),C2,DR,Air temperature (K),Air pressure (mbar),Exhaust Velocity () / Tail Velocity,CP location (cm),CG location (cm),CP NEW(m),CG NEW (m),mass flow rate,Total velocity (m/s),Total acceleration (m/s²),Mass (g),Normal force coefficient (​),,# Angle of attack (°),Reference area (cm²)
0.02,1.44,,,,Rest,Rest,Rest,Rest,Rest,288.15,"1,013.25",0.00,NaN,122.35,NaN,NaN,0.47,0.06,3.18,"5,961.14",NaN,,88.322,67.137
4.664,1.205,,,,418.44,0.03,7.89,7.92,0.18,280.61,881.66,"1,948.60",146.75,114.78,1.47,1.15,0.26,349.80,51.31,"4,417.01",0.04,,0.226,67.137
4.677,1.205,,,,423.19,0.03,9.31,9.34,0.21,280.58,881.15,"1,949.20",146.65,114.77,1.47,1.15,0.26,349.09,51.77,"4,416.25",0.04,,0.265,67.137
4.691,1.205,,,,424.06,0.03,7.85,7.87,0.17,280.54,880.65,"1,950.43",146.71,114.77,1.47,1.15,0.25,348.40,51.77,"4,415.52",0.04,,0.223,67.137
4.707,1.204,,,,423.79,0.03,4.07,4.09,0.09,280.51,880.06,"1,948.88",146.89,114.76,1.47,1.15,0.25,347.57,51.68,"4,414.63",0.02,,0.115,67.137
4.731,1.204,,,,422.97,0.03,2.99,3.02,0.07,280.45,879.18,"1,950.02",146.90,114.75,1.47,1.15,0.25,346.32,51.64,"4,413.30",0.01,,0.085,67.137
4.767,1.204,,,,419.98,0.03,6.69,6.71,0.15,280.37,877.85,"1,950.65",146.63,114.74,1.47,1.15,0.25,344.44,51.67,"4,411.31",0.03,,0.194,67.137
4.782,1.204,,,,421.91,0.02,6.87,6.89,0.15,280.34,877.29,"1,951.40",146.60,114.73,1.47,1.15,0.24,343.63,52.11,"4,410.46",0.03,,0.199,67.137
4.801,1.204,,,,408.08,0.02,3.15,3.17,0.07,280.30,876.61,"1,951.57",146.77,114.73,1.47,1.15,0.24,342.66,52.02,"4,409.56",0.02,,0.094,67.137
4.829,1.203,,,,429.77,0.02,3.34,3.36,0.07,280.24,875.60,"1,951.57",146.72,114.72,1.47,1.15,0.24,341.21,51.66,"4,408.46",0.02,,0.095,67.137
4.863,1.203,,,,417.33,0.02,6.14,6.16,0.14,280.16,874.34,"1,951.57",146.50,114.71,1.47,1.15,0.24,339.41,51.30,"4,407.07",0.03,,0.182,67.137
4.881,1.203,,,,414.31,0.02,5.71,5.74,0.13,280.12,873.70,"1,951.57",146.50,114.71,1.46,1.15,0.23,338.49,51.35,"4,406.36",0.03,,0.171,67.137
4.904,1.203,,,,424.14,0.02,1.65,1.67,0.04,280.07,872.89,"1,951.57",146.70,114.70,1.47,1.15,0.23,337.32,51.04,"4,405.46",0.01,,0.048,67.137
4.938,1.203,,,,420.98,0.02,4.45,4.47,0.10,280.00,871.67,"1,951.57",146.49,114.69,1.46,1.15,0.23,335.58,50.68,"4,404.10",0.02,,0.132,67.137
4.963,1.202,,,,412.18,0.02,6.39,6.41,0.14,279.94,870.76,"1,951.57",146.33,114.68,1.46,1.15,0.23,334.28,50.89,"4,403.08",0.03,,0.195,67.137
